State,Fruit,Seasonality
Southern California,Pears," August, September, October"
Southern California,Peas," January, February, March, April, May, December"
Southern California,Pecans," September, October, November"
Southern California,Peppers," June, July, August, September, October, November, December"
Southern California,Persimmons," September, October, November, December"
Southern California,Pigeon Peas," September, October, November, December"
Southern California,Pistachios," September, October, November"
Southern California,Plums," May, June, July, August, September"
Southern California,Potatoes," January, February, March, April, May, June, July, August, September, October, November, December"
Southern California,Pummelo," January, February, March, April, November, December"
Southern California,Pumpkin," September, October, November"
Southern California,Radishes," January, February, March, April, May, October, November, December"
Southern California,Raspberries," April, May, June, July, August, September, October"
Southern California,Rhubarb," January, February, March"
Southern California,Rosemary," January, February, March, April, May, June, July, August, September, October, November, December"
Southern California,Sage," January, February, March, April, May, June, July, August, September, October, November, December"
Southern California,Snap Peas," January, February, March, April, May"
Southern California,Snow Peas," January, February, March, April, May"
Southern California,Sorrel," January, February, March, April, May, June, July, August, September, October, November, December"
Southern California,Spinach," January, February, March, April, May, June, October, November, December"
Southern California,Strawberries," February, March, April, May, June, July, August, September, October"
Southern California,Summer Squash," April, May, June, July, August, September, October, November"
Southern California,Sweet Potatoes," August, September, October, November, December"
Southern California,Tangerines," January, February, March, November, December"
Southern California,Tarragon," January, February, March, April, May, June, July, August, September, October, November, December"
Southern California,Thyme," January, February, March, April, May, June, July, August, September, October, November, December"
Southern California,Tomatillos," April, May, June, July, August, September, October"
Southern California,Tomatoes," May, June, July, August, September, October, November, December"
Southern California,Turnips," January, February, March, April, November, December"
Southern California,Watermelon," July, August, September, October, November"
Southern California,White Sapote," January, February, October, November, December"
Southern California,Winter Squash," January, February, September, October, November, December"
Southern California,Yacon," October, November, December"
Southern California,Zucchini," April, May, June, July, August, September, October, November"
Colorado,Apples," July, August, September, October, November"
Colorado,Apricots," July, August, September"
Colorado,Arugula," May, June, July, August, September, October"
Colorado,Asparagus," May, June"
Colorado,Basil," June, July, August, September"
Colorado,Beets," July, August, September, October"
Colorado,Black Eyed Peas," June, July"
Colorado,Blackberries," July, August, September"
Colorado,Blueberries," June, July, August"
Colorado,Bok Choy," June, July, August, September, October"
